"year"	"mfr"	"nameplate"	"hp"	"torque"	"mpg"	"fuel"	"curbwt"	"d_truck"	"d_super"	"d_turbo"	"d_diesel"	"d_manual"	"outlier"	"accel"	"lmpg"	"lcurbwt"	"lhp"	"ltorque"	"lhp2"	"lcurbwt2"	"ltorque2"	"lcurbwt_lhp"	"lcurbwt_ltorque"	"lhp_ltorque"	"base"	"rgasp"	"cafe_car"	"cafe_tr"	"time_d_manual"
"39"	1993	"HONDA"	"ACCORD"	125	185.800003051758	31.6000003814697	"G"	2866	0	0	0	0	1	0	10.9574689865112	3.45315718650818	7.96067237854004	4.82831382751465	5.22467088699341	23.312614440918	63.3723030090332	27.2971858978271	38.4366226196289	41.5918922424316	25.2263507843018	1	0	0	0	14
"40"	1994	"HONDA"	"ACCORD"	130	188.5	32.2000007629395	"G"	2866	0	0	0	0	1	0	10.6294164657593	3.47196650505066	7.96067237854004	4.86753463745117	5.239098072052	23.6928939819336	63.3723030090332	27.448148727417	38.7488479614258	41.7067451477051	25.5014915466309	1	0	0	0	15
"41"	1995	"HONDA"	"ACCORD"	145	199.300003051758	32.2000007629395	"G"	3075	0	0	0	0	1	0	10.3144540786743	3.47196650505066	8.03106021881104	4.97673368453979	5.2948112487793	24.7678775787354	64.4979248046875	28.035026550293	39.968448638916	42.52294921875	26.350866317749	1	0	0	0	16
"42"	1996	"HONDA"	"ACCORD"	130	188.5	33	"G"	2855	0	0	0	0	1	0	10.597785949707	3.49650764465332	7.95682716369629	4.86753463745117	5.239098072052	23.6928939819336	63.3111000061035	27.448148727417	38.7301330566406	41.6865997314453	25.5014915466309	1	0	0	0	17
"43"	1997	"HONDA"	"ACCORD"	145	199	32	"G"	2993	0	0	0	0	1	0	10.1006422042847	3.465735912323	8.00403118133545	4.97673368453979	5.29330492019653	24.7678775787354	64.0645141601562	28.0190773010254	39.8339309692383	42.3677787780762	26.3433685302734	1	0	0	0	18
"44"	1998	"HONDA"	"ACCORD"	150	206	32.0999984741211	"G"	3020	0	0	0	0	1	0	9.90743255615234	3.4688560962677	8.01301193237305	5.01063537597656	5.32787609100342	25.106466293335	64.2083587646484	28.3862628936768	40.1502799987793	42.6923332214355	26.696044921875	1	0	0	0	19
"45"	1999	"HONDA"	"ACCORD"	150	206	32.2000007629395	"G"	2888	0	0	0	0	1	0	9.57014560699463	3.47196650505066	7.96831941604614	5.01063537597656	5.32787609100342	25.106466293335	63.4941139221191	28.3862628936768	39.926342010498	42.4542198181152	26.696044921875	1	0	0	0	20
"46"	2000	"HONDA"	"ACCORD"	135	197	30.3999996185303	"G"	2932	0	0	0	0	1	0	10.5067853927612	3.41444253921509	7.98343992233276	4.90527486801147	5.28320360183716	24.0617218017578	63.7353134155273	27.9122409820557	39.1609687805176	42.1781387329102	25.9155654907227	1	0	0	0	21
"47"	2001	"HONDA"	"ACCORD"	135	197	32	"G"	2943	0	0	0	0	1	0	10.5373220443726	3.465735912323	7.98718452453613	4.90527486801147	5.28320360183716	24.0617218017578	63.7951164245605	27.9122409820557	39.1793365478516	42.1979217529297	25.9155654907227	1	0	0	0	22
"48"	2002	"HONDA"	"ACCORD"	135	197	32.7999992370605	"G"	2943	0	0	0	0	1	0	10.5373220443726	3.49042844772339	7.98718452453613	4.90527486801147	5.28320360183716	24.0617218017578	63.7951164245605	27.9122409820557	39.1793365478516	42.1979217529297	25.9155654907227	1	0	0	0	23
